block_size,write_pct,leaders,followers,rate_process,iops,read_iops,read_latency,write_latency,read_tpt,write_tpt,total_writes
128k,10,1,0,poisson,1203,1084,853.804607,480.549261,138856,15277,103936
128k,10,1,0,poisson,1204,1085,853.346612,486.740148,138938,15286,103936
128k,10,1,0,poisson,1184,1067,866.793631,488.570197,136646,15034,103936
128k,10,1,0,poisson,1207,1088,851.988347,483.67734,139265,15323,103936
128k,10,1,0,poisson,1174,1058,867.331843,567.774631,135509,14909,103936
128k,10,1,0,poisson,1205,1086,849.221816,484.402709,139122,15307,103936
128k,10,1,0,poisson,1206,1087,852.02168,481.678571,139183,15313,103936
128k,10,1,0,poisson,1185,1068,866.763144,484.652709,136745,15045,103936
128k,10,1,0,poisson,1195,1077,859.039431,488.929803,137964,15179,103936
128k,10,1,0,poisson,1201,1082,856.710163,489.942118,138550,15244,103936
128k,10,1,0,poisson,1158,1044,869.161789,662.921182,133707,14711,103936
128k,10,2,0,poisson,626,564,1673.831572,719.883005,72308,7955,103936
128k,10,2,0,poisson,631,569,1678.081707,572.317734,72894,8020,103936
128k,10,2,0,poisson,642,579,1653.799729,529.823892,74118,8155,103936
128k,10,2,0,poisson,539,486,1951.599864,799.80665,62303,6855,103936
128k,10,1,1,poisson,1187,534,1789.978845,793.449501,68436,83619,576640
128k,10,1,1,poisson,1147,516,1866.292379,863.970033,66134,80807,576640
128k,10,1,1,poisson,1133,510,1889.453214,846.576471,65356,79855,576640
128k,10,1,1,poisson,1180,531,1813.702468,824.289678,67992,83077,576640
128k,10,1,1,poisson,1195,538,1790.038785,802.952497,68885,84168,576640
128k,10,1,1,poisson,1195,538,1789.934635,785.120533,68895,84181,576640
128k,10,1,1,poisson,1158,521,1846.871983,836.208435,66799,81619,576640
128k,10,4,0,poisson,516,465,2070.477507,584.901478,59523,6549,103936
128k,10,4,0,poisson,515,464,2056.979946,718.674877,59444,6540,103936
128k,10,3,1,poisson,636,429,2192.093377,902.625281,54925,26498,341248
128k,10,3,1,poisson,701,473,2005.036012,792.310953,60641,29256,341248
128k,10,2,2,poisson,738,332,2872.393816,1394.766038,42555,51996,576640
128k,10,2,2,poisson,704,317,2998.471115,1404.391787,40596,49603,576640
128k,10,2,2,poisson,709,319,2977.121779,1397.811321,40856,49921,576640
128k,10,2,2,poisson,754,339,2828.885273,1333.690344,43496,53146,576640
128k,10,2,2,poisson,631,284,3329.195823,1409.520977,36386,44459,576640
128k,10,1,3,poisson,752,169,5613.434003,1609.646985,21640,74655,812928
128k,10,1,3,poisson,803,180,5350.543183,1450.900331,23136,79816,812928
