"","block_size","write_pct","leaders","followers","iops"
"1","128k",10,1,0,1192.90909090909
"2","128k",20,1,0,1136.72727272727
"3","128k",30,1,0,961.454545454545
"4","128k",40,1,0,1109.72727272727
"5","128k",45,1,0,967.818181818182
"6","128k",50,1,0,664.818181818182
"7","128k",55,1,0,655.909090909091
"8","128k",60,1,0,951.636363636364
"9","128k",70,1,0,1019
"10","128k",80,1,0,995.636363636364
"11","128k",90,1,0,1056.72727272727
"12","128k",100,1,0,1145.27272727273
"13","128k",10,2,0,609.5
"14","128k",20,2,0,716
"15","128k",30,2,0,665.5
"16","128k",40,2,0,844
"17","128k",45,2,0,667
"18","128k",50,2,0,295
"19","128k",55,2,0,293.5
"20","128k",60,2,0,506.75
"21","128k",70,2,0,705.5
"22","128k",80,2,0,705
"23","128k",90,2,0,755.25
"24","128k",100,2,0,792
"25","128k",10,4,0,515.5
"26","128k",20,4,0,599
"27","128k",30,4,0,612.5
"28","128k",40,4,0,654.5
"29","128k",45,4,0,499
"30","128k",50,4,0,325
"31","128k",55,4,0,185
"32","128k",60,4,0,383.5
"33","128k",70,4,0,584
"34","128k",80,4,0,589
"35","128k",90,4,0,673.5
"36","128k",100,4,0,770
"37","128k",10,6,0,413
"38","128k",20,6,0,569
"39","128k",30,6,0,581
"40","128k",40,6,0,579
"41","128k",45,6,0,539
"42","128k",50,6,0,340
"43","128k",55,6,0,157
"44","128k",60,6,0,445
"45","128k",70,6,0,421
"46","128k",80,6,0,522
"47","128k",90,6,0,563
"48","128k",100,6,0,670
"49","128k",10,8,0,438
"50","128k",20,8,0,515
"51","128k",30,8,0,502
"52","128k",40,8,0,533
"53","128k",45,8,0,469
"54","128k",50,8,0,321
"55","128k",55,8,0,102
"56","128k",60,8,0,76
"57","128k",70,8,0,382
"58","128k",80,8,0,452
"59","128k",90,8,0,541
"60","128k",100,8,0,611
"61","128k",10,1,1,1170.71428571429
"62","128k",20,1,1,1179.14285714286
"63","128k",30,1,1,1083.28571428571
"64","128k",40,1,1,1075.71428571429
"65","128k",45,1,1,843.571428571429
"66","128k",50,1,1,647.714285714286
"67","128k",55,1,1,519.142857142857
"68","128k",60,1,1,752.428571428571
"69","128k",70,1,1,834
"70","128k",80,1,1,835.285714285714
"71","128k",90,1,1,830.857142857143
"72","128k",100,1,1,819.714285714286
"73","128k",10,3,1,668.5
"74","128k",20,3,1,708.5
"75","128k",30,3,1,723
"76","128k",40,3,1,781.5
"77","128k",45,3,1,575.5
"78","128k",50,3,1,488
"79","128k",55,3,1,181
"80","128k",60,3,1,411
"81","128k",70,3,1,633
"82","128k",80,3,1,662.5
"83","128k",90,3,1,704
"84","128k",100,3,1,762
"85","128k",10,5,1,509
"86","128k",20,5,1,635
"87","128k",30,5,1,667
