block_size,write_pct,leaders,followers,rate_process,iops,read_iops,read_latency,write_latency,read_tpt,write_tpt,total_writes
128k,100,1,0,poisson,1156,0,0.0,851.532349,0,148020,1048576
128k,100,1,0,poisson,1051,0,0.0,937.849487,0,134570,1048576
128k,100,1,0,poisson,1161,0,0.0,847.941528,0,148713,1048576
128k,100,1,0,poisson,1175,0,0.0,836.292114,0,150484,1048576
128k,100,1,0,poisson,1170,0,0.0,841.5979,0,149817,1048576
128k,100,1,0,poisson,1165,0,0.0,844.454834,0,149136,1048576
128k,100,1,0,poisson,1129,0,0.0,873.435791,0,144531,1048576
128k,100,1,0,poisson,1157,0,0.0,851.430542,0,148103,1048576
128k,100,1,0,poisson,1153,0,0.0,853.692871,0,147645,1048576
128k,100,1,0,poisson,1118,0,0.0,880.367187,0,143208,1048576
128k,100,1,0,poisson,1163,0,0.0,845.611938,0,148903,1048576
128k,100,2,0,poisson,702,0,0.0,1411.140747,0,89867,1048576
128k,100,2,0,poisson,801,0,0.0,1234.589722,0,102610,1048576
128k,100,2,0,poisson,845,0,0.0,1169.261475,0,108212,1048576
128k,100,2,0,poisson,820,0,0.0,1205.502808,0,104973,1048576
128k,100,1,1,poisson,830,0,0.0,2394.203735,0,106314,1048576
128k,100,1,1,poisson,843,0,0.0,2357.822998,0,107922,1048576
128k,100,1,1,poisson,838,0,0.0,2370.4552,0,107348,1048576
128k,100,1,1,poisson,836,0,0.0,2377.187622,0,107074,1048576
128k,100,1,1,poisson,800,0,0.0,2479.477417,0,102450,1048576
128k,100,1,1,poisson,801,0,0.0,2480.068237,0,102610,1048576
128k,100,1,1,poisson,790,0,0.0,2516.444824,0,101145,1048576
128k,100,4,0,poisson,769,0,0.0,1286.796021,0,98513,1048576
128k,100,4,0,poisson,771,0,0.0,1280.994263,0,98754,1048576
128k,100,3,1,poisson,755,0,0.0,1997.650513,0,96678,1048576
128k,100,3,1,poisson,769,0,0.0,1952.224365,0,98467,1048576
128k,100,2,2,poisson,759,0,0.0,2619.393066,0,97198,1048576
128k,100,2,2,poisson,732,0,0.0,2715.712402,0,93773,1048576
