block_size,write_pct,leaders,followers,rate_process,iops,read_iops,read_latency,write_latency,read_tpt,write_tpt,total_writes
128k,90,1,0,poisson,771,74,548.29434,1355.990266,9598,89305,946816
128k,90,1,0,poisson,766,74,615.099371,1358.886981,9522,88603,946816
128k,90,1,0,poisson,765,74,603.797484,1360.953495,9507,88462,946816
128k,90,1,0,poisson,769,74,558.230189,1358.748141,9563,88986,946816
128k,90,1,0,poisson,773,75,554.674214,1352.313911,9612,89440,946816
128k,90,1,0,poisson,767,74,571.530818,1359.625794,9544,88802,946816
128k,90,1,0,poisson,767,74,550.716981,1363.515885,9539,88761,946816
128k,90,1,0,poisson,765,74,556.90566,1367.008517,9506,88454,946816
128k,90,1,0,poisson,771,74,560.412579,1353.860484,9589,89221,946816
128k,90,1,0,poisson,768,74,581.971069,1357.687441,9547,88836,946816
128k,90,1,0,poisson,775,75,546.408805,1349.133838,9638,89677,946816
128k,90,1,0,poisson,769,74,608.397484,1349.849534,9570,89045,946816
128k,90,1,0,poisson,773,75,547.327044,1351.817358,9608,89398,946816
128k,90,2,0,poisson,616,59,870.179874,1678.210085,7670,71371,946816
128k,90,2,0,poisson,614,59,812.566038,1692.630796,7640,71092,946816
128k,90,2,0,poisson,615,59,793.520755,1689.398675,7659,71269,946816
128k,90,2,0,poisson,615,59,843.339623,1684.586995,7659,71269,946816
128k,90,2,0,poisson,615,59,845.339623,1685.490604,7658,71253,946816
128k,90,2,0,poisson,616,59,799.241509,1688.777342,7666,71333,946816
128k,90,1,1,poisson,585,31,1498.5,3438.962677,4008,70913,994560
128k,90,1,1,poisson,584,31,1461.348341,3440.16538,4009,70888,994560
128k,90,1,1,poisson,584,31,1511.033175,3442.517117,3996,70893,994560
128k,90,1,1,poisson,585,31,1508.248815,3435.003089,4010,70943,994560
128k,90,1,1,poisson,584,31,1474.57346,3443.724453,3999,70842,994560
128k,90,1,1,poisson,586,31,1426.781991,3438.122909,4006,71141,994560
128k,90,1,1,poisson,585,31,1539.518957,3433.688803,4015,70928,994560
128k,90,4,0,poisson,550,53,1160.978616,1862.706232,6850,63737,946816
128k,90,4,0,poisson,550,53,1131.410063,1869.229688,6846,63698,946816
128k,90,3,1,poisson,562,40,1541.361345,2687.219692,5243,66943,972416
128k,90,3,1,poisson,562,40,1639.92437,2674.951955,5235,66841,972416
128k,90,3,1,poisson,561,40,1549.922689,2678.1057,5232,66814,972416
128k,90,3,1,poisson,563,40,1549.662185,2674.536264,5247,67003,972416
128k,90,2,2,poisson,555,29,2306.00237,3589.758816,3787,67368,994560
128k,90,2,2,poisson,554,29,2243.549763,3607.749807,3764,67213,994560
128k,90,2,2,poisson,555,29,2293.824645,3605.533719,3758,67341,994560
128k,90,2,2,poisson,554,29,2333.457346,3601.037323,3763,67272,994560
128k,90,2,2,poisson,555,29,2250.936019,3608.257658,3763,67331,994560
128k,90,1,3,poisson,564,31,1598.815534,2625.225019,4072,68274,1022208
128k,90,1,3,poisson,563,31,1515.548544,2628.217631,4082,68156,1022208
128k,90,6,0,poisson,620,61,857.205882,1670.300434,7925,71640,354048
128k,90,5,1,poisson,612,51,1161.282946,2049.355721,6585,71822,360192
128k,90,5,1,poisson,614,51,1196.883721,2039.628287,6618,72182,360192
128k,90,4,2,poisson,607,40,1661.325243,2727.303908,5220,72628,366848
128k,90,4,2,poisson,605,40,1605.18932,2743.172017,5205,72428,366848
128k,90,4,2,poisson,605,40,1593.470874,2744.813329,5200,72356,366848
128k,90,3,3,poisson,617,32,2037.154839,3218.990058,4145,74945,373376
128k,90,3,3,poisson,614,32,1995.883871,3242.012684,4121,74615,373376
128k,90,3,3,poisson,612,31,2138.348387,3247.997943,4095,74377,373376
128k,90,3,3,poisson,614,32,2014.509677,3205.518341,4197,74615,373376
128k,90,2,4,poisson,630,34,1538.377551,2549.061533,4460,76378,380672
128k,90,2,4,poisson,636,36,1527.387755,2500.053463,4649,76918,380672
128k,90,1,5,poisson,687,69,645.431373,1833.468719,8905,79142,386688
128k,90,8,0,poisson,584,60,974.090047,1775.917256,7705,67085,470272
128k,90,7,1,poisson,592,51,1173.418994,1972.389513,6639,69322,478464
128k,90,6,2,poisson,586,43,1451.591503,2516.147493,5612,69511,485120
128k,90,5,3,poisson,575,36,1872.771318,3082.16024,4638,68997,491264
128k,90,6,2,poisson,583,43,1361.169935,2533.54591,5589,69223,485120
128k,90,5,3,poisson,576,36,1926.29845,3077.908807,4651,69192,491264
128k,90,4,4,poisson,576,29,2484.475728,3464.856041,3788,70090,497920
128k,90,4,4,poisson,577,29,2512.912621,3464.637532,3777,70248,497920
128k,90,4,4,poisson,577,29,2483.223301,3454.218252,3801,70258,497920
128k,90,3,5,poisson,591,32,2073.412903,2909.380614,4113,71603,504448
128k,90,3,5,poisson,591,32,2122.896774,2913.740675,4096,71664,504448
128k,90,2,6,poisson,605,35,1711.714286,2387.911456,4484,73074,511744
128k,90,1,7,poisson,656,71,669.098039,1854.005933,9207,75005,517760
128k,90,11,1,poisson,604,56,1013.222997,1829.804668,7240,70256,356480
128k,90,10,2,poisson,599,50,1275.44186,2112.727079,6447,70322,360192
