"","block_size","write_pct","leaders","followers","iops"
"1","128k",10,1,0,1946.92307692308
"2","128k",20,1,0,1580.30769230769
"3","128k",30,1,0,1430.69230769231
"4","128k",40,1,0,1198.30769230769
"5","128k",45,1,0,990.076923076923
"6","128k",50,1,0,1012.30769230769
"7","128k",55,1,0,973.230769230769
"8","128k",60,1,0,935.846153846154
"9","128k",70,1,0,843.692307692308
"10","128k",80,1,0,780.384615384615
"11","128k",90,1,0,769.153846153846
"12","128k",100,1,0,729.384615384615
"13","128k",10,2,0,649.833333333333
"14","128k",20,2,0,738.833333333333
"15","128k",30,2,0,805.833333333333
"16","128k",40,2,0,845
"17","128k",45,2,0,802
"18","128k",50,2,0,804.666666666667
"19","128k",55,2,0,864.333333333333
"20","128k",60,2,0,846
"21","128k",70,2,0,814.5
"22","128k",80,2,0,687.333333333333
"23","128k",90,2,0,615.166666666667
"24","128k",100,2,0,539
"25","128k",10,4,0,582
"26","128k",20,4,0,596
"27","128k",30,4,0,604
"28","128k",40,4,0,612.5
"29","128k",45,4,0,579
"30","128k",50,4,0,577
"31","128k",55,4,0,615.5
"32","128k",60,4,0,612
"33","128k",70,4,0,605
"34","128k",80,4,0,559.5
"35","128k",90,4,0,550
"36","128k",100,4,0,539.5
"37","128k",10,6,0,655
"38","128k",20,6,0,657
"39","128k",30,6,0,657
"40","128k",40,6,0,647
"41","128k",45,6,0,619
"42","128k",50,6,0,621
"43","128k",55,6,0,655
"44","128k",60,6,0,658
"45","128k",70,6,0,660
"46","128k",80,6,0,627
"47","128k",90,6,0,620
"48","128k",100,6,0,609
"49","128k",10,8,0,619
"50","128k",20,8,0,621
"51","128k",30,8,0,618
"52","128k",40,8,0,619
"53","128k",45,8,0,584
"54","128k",50,8,0,582
"55","128k",55,8,0,618
"56","128k",60,8,0,618
"57","128k",70,8,0,619
"58","128k",80,8,0,586
"59","128k",90,8,0,584
"60","128k",100,8,0,578
"61","128k",10,1,1,2518.71428571429
"62","128k",20,1,1,1972
"63","128k",30,1,1,1438
"64","128k",40,1,1,1132.71428571429
"65","128k",45,1,1,969.142857142857
"66","128k",50,1,1,911.857142857143
"67","128k",55,1,1,899
"68","128k",60,1,1,842.142857142857
"69","128k",70,1,1,747.428571428571
"70","128k",80,1,1,635.714285714286
"71","128k",90,1,1,584.714285714286
"72","128k",100,1,1,546.857142857143
"73","128k",10,3,1,744.75
"74","128k",20,3,1,746.5
"75","128k",30,3,1,741.5
"76","128k",40,3,1,730.25
"77","128k",45,3,1,669.75
"78","128k",50,3,1,664.5
"79","128k",55,3,1,703
"80","128k",60,3,1,687
