block_size,write_pct,leaders,followers,rate_process,iops,read_iops,read_latency,write_latency,read_tpt,write_tpt,total_writes
128k,90,2,1,poisson,701,34,10327.08773,2174.243625,4473,85465,3985664
128k,90,2,1,poisson,714,35,9925.593252,2134.943799,4551,86949,3985664
128k,90,4,2,poisson,598,29,9706.815951,2625.408087,3816,72905,3985664
128k,90,3,3,poisson,584,29,9066.286503,2864.240678,3719,71057,3985536
128k,90,6,3,poisson,559,27,8516.491824,3065.066081,3476,68158,1995136
128k,90,4,5,poisson,528,25,8799.562264,3274.326811,3285,64425,1995136
128k,90,8,4,poisson,497,24,9160.32327,3437.649753,3090,60604,1995392
128k,90,5,7,poisson,452,21,10578.27044,3837.529865,2815,55202,1995136
128k,60,2,1,poisson,724,146,4694.579417,1565.150013,18727,74013,3347328
128k,60,2,1,poisson,682,137,4703.532114,1804.731636,17662,69805,3347328
128k,60,4,2,poisson,546,110,6187.830588,2087.330771,14144,55901,3347328
128k,60,3,3,poisson,550,111,6000.778601,2278.602333,14223,56211,3347200
128k,60,6,3,poisson,438,87,7779.455573,2534.120546,11257,45054,1677696
128k,60,4,5,poisson,492,98,6852.523664,2558.78996,12621,50513,1677696
128k,60,8,4,poisson,356,71,10263.581985,2680.077809,9141,36590,1677952
128k,60,5,7,poisson,417,83,7623.141069,3113.778744,10705,42843,1677696
128k,40,2,1,poisson,723,218,3449.186394,1662.140022,27972,64678,2928000
128k,40,2,1,poisson,715,216,3643.031032,1607.134426,27664,63967,2928000
128k,40,4,2,poisson,521,157,4923.998181,2074.11882,20198,46703,2928000
128k,40,3,3,poisson,560,169,4606.257152,2204.768646,21662,50085,2927872
128k,40,6,3,poisson,514,154,5112.38449,2168.626646,19740,46081,1468032
128k,40,4,5,poisson,497,149,5282.876857,2507.156596,19102,44592,1468032
128k,40,8,4,poisson,448,134,5830.542438,2603.394822,17247,40270,1468288
128k,40,5,7,poisson,453,136,5657.654183,2872.823263,17435,40700,1468032
