block_size,write_pct,leaders,followers,rate_process,iops,read_iops,read_latency,write_latency,read_tpt,write_tpt,total_writes
128k,40,1,0,poisson,1090,654,1118.979646,578.853919,83725,55879,419712
128k,40,1,1,poisson,938,280,2801.240506,1337.0996,35936,84271,735104
128k,40,2,1,poisson,825,326,2427.718167,1132.521716,41821,63948,713216
128k,40,2,2,poisson,721,215,3780.822376,1499.387951,27640,64818,735104
128k,40,2,3,poisson,690,162,4898.654485,1866.006129,20806,67672,501248
128k,40,3,3,poisson,650,193,4301.662281,1614.324537,24716,58539,276480
128k,40,3,4,poisson,603,153,4977.629386,2226.928892,19679,57656,342016
128k,40,3,5,poisson,566,126,6342.66886,2261.859925,16146,56369,407552
128k,40,4,5,poisson,582,152,5166.509967,2111.622797,19483,55083,217856
128k,40,4,6,poisson,563,132,5637.222591,2428.429009,16968,55191,250624
128k,40,4,7,poisson,471,100,7453.41196,3071.682927,12915,47501,283392
128k,40,5,7,poisson,473,117,6641.360526,2808.099048,14986,45591,295936
128k,40,5,8,poisson,468,107,6846.365789,3176.368769,13707,46315,328704
128k,40,5,9,poisson,441,93,8310.519737,3133.162181,12000,44593,361472
128k,40,6,9,poisson,434,103,7425.135965,3171.82821,13217,42434,374784
128k,40,6,10,poisson,446,99,7646.211623,3190.951633,12728,44439,407552
128k,40,6,11,poisson,425,89,8126.117325,3534.236047,11410,43037,440320
128k,40,7,11,poisson,425,98,7734.339269,3306.543914,12627,41905,453248
128k,40,7,12,poisson,425,93,7860.923149,3412.600474,11969,42595,486016
128k,40,7,13,poisson,362,75,10031.495783,3631.298544,9673,36743,518784
