block_size,write_pct,leaders,followers,rate_process,iops,read_iops,read_latency,write_latency,read_tpt,write_tpt,total_writes
128k,40,1,0,poisson,850,510,1013.043558,1368.940531,65336,43606,419712
128k,40,1,1,poisson,1057,397,872.676194,2184.268501,50871,84591,735104
128k,40,2,1,poisson,774,306,1513.619374,2673.779074,39202,59944,713216
128k,40,2,2,poisson,610,197,2560.536954,3453.979627,25249,52991,735104
128k,40,2,3,poisson,665,210,2308.342193,2916.560266,26966,58332,501248
128k,40,3,3,poisson,649,207,2473.997807,3215.771759,26609,56609,276480
128k,40,3,4,poisson,657,206,2475.130482,2988.450599,26488,57831,342016
128k,40,3,5,poisson,667,207,2498.100877,2809.887249,26555,58886,407552
128k,40,4,5,poisson,718,229,2270.57309,2747.017626,29399,62710,217856
128k,40,4,6,poisson,721,229,2251.498339,2647.425434,29399,63050,250624
128k,40,4,7,poisson,724,230,2244.275748,2562.082656,29546,63313,283392
128k,40,5,7,poisson,665,206,2574.6,2893.413495,26413,58799,295936
128k,40,5,8,poisson,668,205,2563.613158,2813.415109,26291,59268,328704
128k,40,5,9,poisson,675,207,2558.113158,2713.122521,26615,59945,361472
128k,40,6,9,poisson,635,191,2812.719298,2977.559768,24452,56837,374784
128k,40,6,10,poisson,643,194,2763.578947,2886.848304,24874,57498,407552
128k,40,6,11,poisson,642,190,2806.523026,2827.902035,24406,57891,440320
128k,40,7,11,poisson,620,184,2904.46298,3022.974301,23608,55832,453248
128k,40,7,12,poisson,626,185,2921.890347,2937.859889,23694,56474,486016
128k,40,7,13,poisson,626,184,2921.750703,2887.493708,23612,56703,518784
