block_size,write_pct,leaders,followers,rate_process,iops,read_iops,read_latency,write_latency,read_tpt,write_tpt,total_writes,type
128k,40,1,0,poisson,1074,644,590.455119,1389.25953,82495,55058,419712,st1
128k,40,1,1,poisson,1053,394,893.391997,2185.924081,50486,84475,735104,st1
128k,40,2,1,poisson,774,306,1513.619374,2673.779074,39202,59944,713216,st1
128k,40,2,2,poisson,610,196,2621.227031,3433.404144,25156,53072,735104,st1
128k,40,2,3,poisson,660,206,2431.524086,2911.688202,26411,58183,501248,st1
128k,40,3,3,poisson,649,207,2473.997807,3215.771759,26609,56609,276480,st1
128k,40,3,4,poisson,657,206,2475.130482,2988.450599,26488,57831,342016,st1
128k,40,3,5,poisson,664,204,2573.060307,2806.002513,26156,58937,407552,st1
128k,40,4,5,poisson,716,229,2262.73588,2757.474736,29410,62440,217856,st1
128k,40,4,6,poisson,724,231,2251.425249,2639.121042,29568,63145,250624,st1
128k,40,4,7,poisson,721,229,2246.255814,2577.834688,29377,63032,283392,st1
128k,40,5,7,poisson,665,206,2574.6,2893.413495,26413,58799,295936,st1
128k,40,5,8,poisson,668,205,2563.613158,2813.415109,26291,59268,328704,st1
128k,40,5,9,poisson,675,207,2558.113158,2713.122521,26615,59945,361472,st1
128k,40,6,9,poisson,635,191,2812.719298,2977.559768,24452,56837,374784,st1
128k,40,6,10,poisson,643,194,2763.578947,2886.848304,24874,57498,407552,st1
128k,40,6,11,poisson,642,190,2806.523026,2827.902035,24406,57891,440320,st1
128k,40,7,11,poisson,624,188,2841.940019,2998.108726,24189,55887,453248,st1
128k,40,7,12,poisson,620,181,3038.012184,2944.046089,23168,56251,486016,st1
128k,40,7,13,poisson,623,181,2997.188379,2887.957809,23243,56691,518784,st1
128k,40,1,0,poisson,1090,654,1118.979646,578.853919,83725,55879,419712,hdd
128k,40,1,1,poisson,938,280,2801.240506,1337.0996,35936,84271,735104,hdd
128k,40,2,1,poisson,825,326,2427.718167,1132.521716,41821,63948,713216,hdd
128k,40,2,2,poisson,721,215,3780.822376,1499.387951,27640,64818,735104,hdd
128k,40,2,3,poisson,690,162,4898.654485,1866.006129,20806,67672,501248,hdd
128k,40,3,3,poisson,650,193,4301.662281,1614.324537,24716,58539,276480,hdd
128k,40,3,4,poisson,603,153,4977.629386,2226.928892,19679,57656,342016,hdd
128k,40,3,5,poisson,566,126,6342.66886,2261.859925,16146,56369,407552,hdd
128k,40,4,5,poisson,582,152,5166.509967,2111.622797,19483,55083,217856,hdd
128k,40,4,6,poisson,563,132,5637.222591,2428.429009,16968,55191,250624,hdd
128k,40,4,7,poisson,471,100,7453.41196,3071.682927,12915,47501,283392,hdd
128k,40,5,7,poisson,473,117,6641.360526,2808.099048,14986,45591,295936,hdd
128k,40,5,8,poisson,468,107,6846.365789,3176.368769,13707,46315,328704,hdd
128k,40,5,9,poisson,441,93,8310.519737,3133.162181,12000,44593,361472,hdd
128k,40,6,9,poisson,434,103,7425.135965,3171.82821,13217,42434,374784,hdd
128k,40,6,10,poisson,446,99,7646.211623,3190.951633,12728,44439,407552,hdd
128k,40,6,11,poisson,425,89,8126.117325,3534.236047,11410,43037,440320,hdd
128k,40,7,11,poisson,425,98,7734.339269,3306.543914,12627,41905,453248,hdd
128k,40,7,12,poisson,425,93,7860.923149,3412.600474,11969,42595,486016,hdd
128k,40,7,13,poisson,362,75,10031.495783,3631.298544,9673,36743,518784,hdd
