block_size,write_pct,leaders,followers,rate_process,iops,read_iops,read_latency,write_latency,read_tpt,write_tpt,total_writes
128k,100,1,0,poisson,738,0,0.0,1333.897949,0,94560,1048576
128k,100,1,0,poisson,763,0,0.0,1287.552368,0,97751,1048576
128k,100,1,0,poisson,716,0,0.0,1375.289673,0,91690,1048576
128k,100,1,0,poisson,737,0,0.0,1333.906006,0,94449,1048576
128k,100,2,0,poisson,485,0,0.0,2038.05481,0,62091,2097152
128k,100,2,0,poisson,484,0,0.0,2042.845764,0,61976,2097152
128k,100,1,1,poisson,490,0,0.0,4035.993744,0,62779,4194304
128k,100,1,1,poisson,489,0,0.0,4052.660034,0,62624,4194304
128k,100,4,0,poisson,483,0,0.0,2043.014648,0,61928,2097152
128k,100,3,1,poisson,486,0,0.0,4077.513199,0,62252,4194176
128k,100,2,2,poisson,478,0,0.0,4151.079498,0,61261,4194304
128k,100,2,2,poisson,510,0,0.0,3880.955231,0,65323,4194304
128k,100,7,1,poisson,556,0,0.0,3537.940178,0,71289,2096896
128k,100,5,3,poisson,540,0,0.0,3659.974481,0,69145,2096640
128k,100,4,4,poisson,540,0,0.0,3676.388916,0,69210,2097152
128k,100,3,5,poisson,540,0,0.0,3657.727839,0,69214,2096640
128k,100,10,2,poisson,540,0,0.0,3658.811439,0,69245,2096896
128k,100,8,4,poisson,541,0,0.0,3671.714294,0,69249,2097152
128k,100,5,7,poisson,541,0,0.0,3654.288889,0,69250,2096640
128k,100,4,8,poisson,541,0,0.0,3663.591614,0,69249,2097152
128k,100,13,3,poisson,540,0,0.0,3654.190232,0,69246,2096640
128k,100,10,6,poisson,540,0,0.0,3668.812027,0,69218,2096640
128k,100,7,9,poisson,540,0,0.0,3673.322772,0,69228,2096640
128k,100,5,11,poisson,540,0,0.0,3644.824905,0,69230,2095872
128k,100,16,4,poisson,540,0,0.0,3671.21814,0,69231,2097152
128k,100,12,8,poisson,540,0,0.0,3663.012213,0,69201,2096128
128k,100,8,12,poisson,540,0,0.0,3674.478749,0,69220,2096128
128k,100,6,14,poisson,540,0,0.0,3636.254457,0,69218,2096640
128k,80,1,0,poisson,761,145,554.524266,1466.496831,18639,78866,848128
128k,80,1,0,poisson,706,135,657.217752,1568.517205,17284,73133,848128
128k,80,1,0,poisson,724,138,722.238825,1508.132508,17746,75088,848128
128k,80,1,0,poisson,729,139,640.833972,1515.065952,17870,75610,848128
128k,80,2,0,poisson,698,139,896.779718,1537.709451,17817,71620,1679360
128k,80,2,0,poisson,698,139,791.792586,1562.573399,17824,71648,1679360
128k,80,1,1,poisson,656,69,1535.077206,3110.353647,8832,75196,3776512
128k,80,1,1,poisson,658,69,1542.230086,3093.972173,8889,75472,3776512
128k,80,4,0,poisson,562,112,1107.804841,1917.081326,14347,57670,1679360
128k,80,3,1,poisson,634,63,2775.253064,3141.22702,8096,73188,3776512
128k,80,2,2,poisson,557,55,3002.900123,3616.391269,7137,64381,3776512
128k,80,2,2,poisson,557,55,2843.048713,3628.117001,7163,64323,3776512
128k,80,7,1,poisson,615,58,2752.695402,3268.051356,7542,71371,1896704
128k,80,5,3,poisson,546,52,3170.572797,3658.148286,6695,63347,1896448
128k,80,4,4,poisson,548,52,3051.690294,3661.537859,6720,63594,1896704
128k,80,3,5,poisson,554,53,2794.286718,3661.913674,6812,64203,1896448
128k,80,10,2,poisson,541,51,3247.661558,3670.927116,6632,62759,1896704
128k,80,8,4,poisson,542,51,3159.954023,3678.079633,6650,62925,1896704
128k,80,5,7,poisson,546,52,2937.291188,3682.013431,6694,63335,1896448
128k,80,4,8,poisson,548,52,2995.270115,3655.84971,6722,63609,1896704
128k,80,13,3,poisson,540,51,3186.036398,3680.501485,6625,62686,1896448
128k,80,10,6,poisson,541,51,3211.244572,3642.139714,6632,62746,1896448
128k,80,7,9,poisson,544,52,2961.233078,3690.794749,6664,63057,1896448
128k,80,5,11,poisson,546,52,3005.383142,3684.227819,6697,63343,1895680
128k,80,16,4,poisson,540,51,3424.960409,3654.138548,6616,62605,1896704
128k,80,12,8,poisson,541,51,3185.972542,3653.422932,6632,62759,1896704
128k,80,8,12,poisson,543,52,3163.328225,3683.642404,6656,62950,1895680
128k,80,6,14,poisson,546,52,3048.655811,3656.395721,6685,63252,1896448
128k,70,1,0,poisson,936,276,502.093582,1273.276614,35332,84518,739456
128k,70,1,0,poisson,931,274,520.855072,1275.842306,35191,84182,739456
128k,70,1,0,poisson,945,278,513.800828,1251.534533,35691,85377,739456
128k,70,1,0,poisson,937,276,474.468323,1282.519993,35380,84635,739456
128k,70,2,0,poisson,760,228,730.562983,1533.469639,29270,68162,1467136
128k,70,2,0,poisson,760,228,775.141203,1510.495638,29293,68216,1467136
128k,70,1,1,poisson,700,116,1290.526006,2973.794261,14908,74867,3564288
128k,70,1,1,poisson,719,119,1306.16538,2885.516088,15318,76907,3564288
128k,70,4,0,poisson,571,171,1153.098131,1973.5,21993,51217,1467136
128k,70,3,1,poisson,657,99,2238.711906,3136.484486,12784,71541,3564288
128k,70,2,2,poisson,571,87,2589.81796,3600.688106,11213,61957,3564288
128k,70,2,2,poisson,573,90,2541.070297,3558.045428,11530,61889,3564288
128k,70,7,1,poisson,650,97,2562.058799,3118.539051,12425,70827,1788032
128k,70,5,3,poisson,547,80,3101.543271,3691.420563,10346,59839,1787776
128k,70,4,4,poisson,552,82,2843.965631,3701.819601,10566,60268,1788032
128k,70,3,5,poisson,558,82,2808.469565,3684.059139,10556,60953,1787776
128k,70,10,2,poisson,540,79,3095.424845,3751.282411,10222,59131,1788032
128k,70,8,4,poisson,541,79,3101.130021,3731.558021,10232,59188,1788032
128k,70,5,7,poisson,547,80,3008.756108,3728.465168,10362,59855,1787776
128k,70,4,8,poisson,551,81,2871.909317,3712.500608,10474,60272,1788032
128k,70,13,3,poisson,539,79,3104.761905,3735.249588,10202,59006,1787776
128k,70,10,6,poisson,541,79,3115.195859,3685.44555,10226,59145,1787776
128k,70,7,9,poisson,543,80,3100.960248,3676.20842,10268,59384,1787776
128k,70,5,11,poisson,547,80,2943.593375,3739.645298,10359,59886,1787008
128k,70,16,4,poisson,540,79,3140.726294,3698.708068,10208,59046,1788032
128k,70,12,8,poisson,540,79,3167.205797,3734.666476,10213,59079,1788032
128k,70,8,12,poisson,542,80,3043.956108,3720.131151,10246,59235,1787008
128k,70,6,14,poisson,545,80,2964.763147,3710.370731,10291,59521,1787776
128k,50,1,0,poisson,1073,536,541.340015,1275.821507,68693,68861,524928
128k,50,1,0,poisson,1063,531,555.331459,1285.865643,67988,68154,524928
128k,50,1,0,poisson,1050,524,570.635297,1288.621068,67194,67358,524928
128k,50,1,0,poisson,1033,516,598.965779,1290.589856,66108,66270,524928
128k,50,2,0,poisson,809,408,945.612888,1483.097564,52250,51440,1040384
128k,50,2,0,poisson,810,408,865.323159,1565.067052,52294,51483,1040384
128k,50,1,1,poisson,912,259,1264.099322,2376.989515,33154,83645,3137536
128k,50,1,1,poisson,903,256,1255.833333,2405.680197,32841,82898,3137536
128k,50,4,0,poisson,581,293,1392.24891,2007.462475,37507,36925,1040384
128k,50,3,1,poisson,747,188,2444.960756,2668.297038,24142,71679,3137536
128k,50,2,2,poisson,585,152,2915.443435,3502.94162,19516,55534,3137536
128k,50,2,2,poisson,584,151,2928.346415,3511.528476,19388,55535,3137536
128k,50,7,1,poisson,719,180,2418.795649,2866.180997,23066,69083,1573504
128k,50,5,3,poisson,545,136,3293.090198,3747.637946,17520,52375,1573248
128k,50,4,4,poisson,552,139,3230.301393,3709.497519,17816,52874,1573504
128k,50,3,5,poisson,565,145,2959.797116,3647.18241,18662,53804,1573248
128k,50,10,2,poisson,540,135,3458.824982,3714.577646,17285,51941,1573504
128k,50,8,4,poisson,541,135,3358.895625,3770.994875,17333,51977,1573504
128k,50,5,7,poisson,545,136,3399.996333,3710.528273,17434,52380,1573248
128k,50,4,8,poisson,552,139,3217.080909,3707.558529,17843,52867,1573504
128k,50,13,3,poisson,540,135,3542.648497,3639.944431,17284,51930,1573248
128k,50,10,6,poisson,540,135,3432.658519,3732.886096,17288,51942,1573248
128k,50,7,9,poisson,541,135,3393.450501,3746.064275,17322,52044,1573248
128k,50,5,11,poisson,545,136,3343.517477,3740.187139,17449,52400,1572480
128k,50,16,4,poisson,540,135,3457.559521,3713.724803,17280,51925,1573504
128k,50,12,8,poisson,540,135,3465.188951,3699.087774,17284,51939,1573504
128k,50,8,12,poisson,541,135,3428.468101,3722.926903,17310,51982,1572480
128k,50,6,14,poisson,543,136,3324.015644,3758.249776,17453,52159,1573248
128k,30,1,0,poisson,1479,1033,414.94931,1214.191825,132253,57122,316288
128k,30,1,0,poisson,1483,1036,415.756162,1208.538244,132612,57277,316288
128k,30,1,0,poisson,1473,1029,417.216745,1213.429786,131825,56937,316288
128k,30,1,0,poisson,1475,1030,416.609509,1218.187374,131920,56978,316288
128k,30,2,0,poisson,754,528,1177.347394,1604.849898,67665,28955,628480
128k,30,2,0,poisson,754,528,1204.192871,1536.261303,67615,28934,628480
128k,30,1,1,poisson,1241,570,829.992418,1953.933455,73086,85973,2725632
128k,30,1,1,poisson,1327,618,843.655046,1794.316005,79165,90848,2725632
128k,30,4,0,poisson,570,399,1477.957208,2326.449695,51151,21889,628480
128k,30,3,1,poisson,839,297,2088.989803,2496.361182,38041,69428,2725632
128k,30,2,2,poisson,584,207,3065.178055,3557.363764,26595,48323,2725632
128k,30,2,2,poisson,578,202,3242.513683,3523.449469,25943,48146,2725632
128k,30,7,1,poisson,818,290,2057.253277,2599.020163,37202,67694,1364864
128k,30,5,3,poisson,542,189,3404.622444,3782.492637,24264,45215,1364608
128k,30,4,4,poisson,544,190,3329.842685,3805.209228,24330,45348,1364864
128k,30,3,5,poisson,553,193,3293.270932,3739.684457,24766,46151,1364608
128k,30,10,2,poisson,538,188,3448.843384,3796.312951,24075,44873,1364864
128k,30,8,4,poisson,540,188,3429.600769,3747.571321,24180,45068,1364864
128k,30,5,7,poisson,541,189,3424.332459,3792.534096,24243,45176,1364608
128k,30,4,8,poisson,544,190,3331.532949,3758.129419,24352,45389,1364864
128k,30,13,3,poisson,540,188,3443.891977,3682.751899,24183,45064,1364608
128k,30,10,6,poisson,540,188,3441.899144,3773.935747,24185,45069,1364608
128k,30,7,9,poisson,540,188,3425.481384,3743.305506,24184,45067,1364608
128k,30,5,11,poisson,542,189,3430.345744,3782.721164,24264,45190,1363840
128k,30,16,4,poisson,540,188,3439.836392,3729.591391,24176,45061,1364864
128k,30,12,8,poisson,540,188,3409.426674,3763.992966,24183,45074,1364864
128k,30,8,12,poisson,541,189,3397.947387,3747.030033,24199,45069,1363840
128k,30,6,14,poisson,541,189,3433.113092,3725.349029,24202,45100,1364608
128k,20,1,0,poisson,1637,1313,418.45067,1294.331897,168073,41557,207872
128k,20,1,0,poisson,1609,1290,416.453715,1349.696429,165200,40847,207872
128k,20,1,0,poisson,1631,1308,416.812881,1308.119458,167470,41408,207872
128k,20,1,0,poisson,1545,1239,414.289129,1483.796182,158593,39213,207872
128k,20,2,0,poisson,692,555,1307.034262,1897.201538,71111,17596,416000
128k,20,2,0,poisson,692,555,1299.890742,1921.900308,71108,17595,416000
128k,20,1,1,poisson,1658,917,666.146795,1596.964093,117415,94932,2513152
128k,20,1,1,poisson,1664,952,562.432618,1693.719568,121893,91247,2513152
128k,20,4,0,poisson,562,451,1623.044769,2278.331077,57811,14305,416000
128k,20,3,1,poisson,874,351,2097.067154,2374.109249,45021,66972,2513152
128k,20,2,2,poisson,569,228,3356.416248,3533.047418,29219,43680,2513152
128k,20,2,2,poisson,569,228,3363.778666,3566.920342,29252,43729,2513152
128k,20,7,1,poisson,855,357,2018.306486,2489.253566,45762,63850,1256448
128k,20,5,3,poisson,540,216,3494.717418,3770.898003,27763,41484,1256192
128k,20,4,4,poisson,94,38,20947.622868,21189.877649,4898,7207,1256448
128k,20,3,5,poisson,78,31,25152.330847,24890.350316,4093,6116,1256192
