block_size,write_pct,leaders,followers,rate_process,iops,read_iops,read_latency,write_latency,read_tpt,write_tpt,total_writes
128k,100,1,0,poisson,1120,0,0.0,877.792969,0,143463,1048576
128k,100,1,0,poisson,919,0,0.0,1073.131958,0,117658,1048576
128k,100,1,0,poisson,1111,0,0.0,886.032593,0,142256,1048576
128k,100,1,0,poisson,1115,0,0.0,880.218872,0,142721,1048576
128k,100,2,0,poisson,795,0,0.0,1241.699402,0,101783,2097152
128k,100,2,0,poisson,796,0,0.0,1239.649292,0,101981,2097152
128k,100,1,1,poisson,787,0,0.0,2522.90152,0,100819,4194304
128k,100,1,1,poisson,796,0,0.0,2494.816437,0,101961,4194304
128k,100,4,0,poisson,706,0,0.0,1399.794922,0,90410,2097152
128k,100,3,1,poisson,701,0,0.0,2834.71865,0,89776,4194176
128k,100,2,2,poisson,716,0,0.0,2775.57312,0,91690,4194304
128k,100,2,2,poisson,721,0,0.0,2756.706726,0,92344,4194304
128k,100,7,1,poisson,594,0,0.0,3344.666219,0,76137,2096896
128k,100,5,3,poisson,598,0,0.0,3327.632906,0,76567,2096640
128k,100,4,4,poisson,583,0,0.0,3411.486206,0,74674,2097152
128k,100,3,5,poisson,589,0,0.0,3378.309524,0,75424,2096640
128k,100,10,2,poisson,502,0,0.0,3963.777194,0,64306,2096896
128k,100,8,4,poisson,499,0,0.0,3989.29834,0,63914,2097152
128k,100,5,7,poisson,492,0,0.0,4037.607265,0,63096,2096640
128k,100,4,8,poisson,490,0,0.0,4059.815186,0,62783,2097152
128k,100,13,3,poisson,453,0,0.0,4394.440049,0,58024,2096640
128k,100,10,6,poisson,435,0,0.0,4577.481563,0,55718,2096640
128k,100,7,9,poisson,432,0,0.0,4608.457326,0,55349,2096640
128k,100,5,11,poisson,422,0,0.0,4719.270551,0,54066,2095872
128k,100,16,4,poisson,416,0,0.0,4779.336792,0,53366,2097152
128k,100,12,8,poisson,403,0,0.0,4941.136969,0,51614,2096128
128k,100,8,12,poisson,404,0,0.0,4931.226124,0,51734,2096128
128k,100,6,14,poisson,405,0,0.0,4913.153663,0,51934,2096640
128k,80,1,0,poisson,984,188,2098.828863,741.660429,24083,101901,848128
128k,80,1,0,poisson,971,185,2431.48659,680.063688,23777,100608,848128
128k,80,1,0,poisson,978,187,2091.351213,748.056897,23948,101329,848128
128k,80,1,0,poisson,955,182,2386.068327,709.454875,23392,98976,848128
128k,80,2,0,poisson,691,137,3749.228554,852.641159,17655,70966,1679360
128k,80,2,0,poisson,621,123,4409.184436,891.384375,15861,63757,1679360
128k,80,1,1,poisson,817,81,6350.092218,1605.618391,10430,94280,3776512
128k,80,1,1,poisson,806,80,6579.767463,1607.268777,10291,93028,3776512
128k,80,4,0,poisson,557,111,4117.570466,1194.20404,14229,57196,1679360
128k,80,3,1,poisson,643,64,7825.62837,2075.047858,8212,74232,3776512
128k,80,2,2,poisson,664,66,7317.316483,2077.846767,8473,76596,3776512
128k,80,2,2,poisson,637,63,7802.38174,2123.599275,8133,73523,3776512
128k,80,7,1,poisson,542,51,8837.023627,2358.001485,6649,62917,1896704
128k,80,5,3,poisson,541,51,7959.87931,2708.230494,6630,62731,1896448
128k,80,4,4,poisson,525,50,7573.537676,2985.084087,6433,60871,1896704
128k,80,3,5,poisson,544,52,7448.797573,2863.128037,6667,63082,1896448
128k,80,10,2,poisson,482,46,8729.235632,2968.857606,5907,55898,1896704
128k,80,8,4,poisson,467,44,8407.162197,3288.657444,5730,54224,1896704
128k,80,5,7,poisson,448,42,8848.022989,3460.792454,5503,52071,1896448
128k,80,4,8,poisson,466,44,8031.53129,3498.833986,5712,54055,1896704
128k,80,13,3,poisson,431,41,9648.530013,3391.450796,5289,50047,1896448
128k,80,10,6,poisson,432,41,8841.5894,3600.221585,5290,50055,1896448
128k,80,7,9,poisson,417,39,9108.009579,3772.913742,5115,48393,1896448
128k,80,5,11,poisson,418,40,9228.332056,3865.648818,5128,48505,1895680
128k,80,16,4,poisson,405,38,9297.775223,3760.630922,4972,47049,1896704
128k,80,12,8,poisson,382,36,9949.210728,4060.039749,4690,44379,1896704
128k,80,8,12,poisson,371,35,9740.017241,4385.310196,4548,43013,1895680
128k,80,6,14,poisson,384,36,9513.790549,4271.737918,4719,44654,1896448
128k,70,1,0,poisson,937,276,2011.686128,645.906526,35412,84712,739456
128k,70,1,0,poisson,754,222,2800.478261,684.284577,28508,68196,739456
128k,70,1,0,poisson,792,233,2718.498551,629.303098,29921,71576,739456
128k,70,1,0,poisson,957,282,1974.971843,631.725636,36171,86526,739456
128k,70,2,0,poisson,604,181,3403.688135,879.303176,23262,54171,1467136
128k,70,2,0,poisson,612,184,3506.223486,804.470424,23571,54891,1467136
128k,70,1,1,poisson,807,121,5034.163348,1553.974431,15531,87866,3564288
128k,70,1,1,poisson,807,121,5089.768996,1533.229836,15521,87814,3564288
128k,70,4,0,poisson,479,144,4037.4295,1221.565259,18456,42979,1467136
128k,70,3,1,poisson,626,94,6459.161926,1933.187567,12050,68176,3564288
128k,70,2,2,poisson,620,93,6534.981715,1988.275048,11933,67510,3564288
128k,70,2,2,poisson,610,91,6277.230394,2142.226639,11761,66537,3564288
